"facility_name","RN_Fluctuation","CNA_Fluctuation","avg_census"
"THE CITADEL REHAB AND NURSING CTR AT KINGSBRIDGE","99.31451006832968","20.960854849396725","364.1111111111111"
"ELIZABETH SETON CHILDREN'S CENTER","96.5182493314091","21.210242973414072","167.25555555555556"
"COLER REHABILITATION AND NURSING CARE CENTER","86.45434775906084","45.095345079803195","468.8888888888889"
"THE PLAZA REHAB AND NURSING CENTER","86.34557634783889","45.430065573484576","734.2444444444444"
"A HOLLY PATTERSON EXTENDED CARE FACILITY","83.04350831078277","38.60557132498287","472.8666666666667"
"MARY MANNING WALSH NURSING HOME CO INC","82.21499541948987","20.375436853385306","339.14444444444445"
"PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB","75.92838958713305","24.222957816774944","497.4888888888889"
"CLOVE LAKES HEALTH CARE AND REHAB CENTER  INC","75.3043969006577","38.9792192507207","384.47777777777776"
"LONG ISLAND STATE VETERANS HOME","74.1674443421754","39.415901165255164","305.0"
"NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER","71.97387156486451","44.21850216176463","144.51111111111112"
"EGER HEALTH CARE AND REHABILITATION CENTER","70.79614188441823","21.210247002579422","324.1"
"SUNSHINE CHILDREN'S HOME AND REHAB CENTER","70.71053390128488","17.193820791499732","87.72222222222223"
"NEW YORK CENTER FOR REHABILITATION & NURSING","70.70679488349496","16.37610104369347","274.8666666666667"
"PINNACLE MULTICARE NURSING AND REHAB CENTER","69.40622052029684","32.620069649165174","467.8"
"VICTORIA NURSING & REHABILITATION CENTER  INC.","67.45384866290584","19.661802705829047","303.73333333333335"
"RUTLAND NURSING HOME  INC","66.6261307456137","58.15638497981196","451.0111111111111"
"SEA VIEW HOSPITAL REHABILITATION CENTER AND HOME","66.28975689919315","28.80246582572067","292.64444444444445"
"DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER","65.84160836418596","28.360976275236915","301.7"
"AMSTERDAM NURSING HOME CORP (1992)","65.68601001486472","34.528347492846606","401.1666666666667"
"COLD SPRING HILLS CENTER FOR NURSING AND REHAB","65.57884904576058","41.19461713575329","440.6777777777778"
"AFFINITY SKILLED LIVING AND REHABILITATION CENTER","65.34297459730696","27.76937060695838","249.54444444444445"
"MILLER NURSING HOME","64.88217302378304","55.06390206095762","151.5222222222222"
"WORKMENS CIRCLE MULTICARE CENTER","64.55259734676373","22.970220042209302","509.15555555555557"
"FRANKLIN CENTER FOR REHABILITATION AND NURSING","61.60080018166341","24.01286214463051","313.8666666666667"
"BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE","61.222778767487604","40.988303154438036","489.64444444444445"
"BROOKHAVEN REHAB & HEALTH CARE CENTER L L C","60.69646241185196","32.760289789296","293.85555555555555"
"FIELDSTON LODGE CARE CENTER","59.129655384657376","15.496617963805434","191.3111111111111"
"TERRACE VIEW LONG TERM CARE FACILITY","58.66920658177904","66.93540061945816","371.0888888888889"
"THE PAVILION AT QUEENS FOR REHABILITATION & NRSING","58.47402389174853","34.89290373320799","292.8333333333333"
"ISABELLA GERIATRIC CENTER INC","57.476356900916066","47.934470590368726","678.3333333333334"
