"state","total_rn_contractor_hours","total_lpn_contractor_hours","total_cna_contractor_hours","total_rn_employee_hours","total_lpn_employee_hours","total_cna_employee_hours","rn_contractor_ratio","lpn_contractor_ratio","cna_contractor_ratio","avg_health_deficiencies_cycle1","avg_fire_deficiencies_cycle1","contractor_dependency"
"NH","26189.86","96436.59","207305.36","247432.34","297035.7","891109.9","0.10584655","0.3246633","0.23263726","5.2","2.8","Very High Dependency on Contractors"
"NY","776877.6","1216464.8","1924905.0","3639189.2","5332569.5","1.701933E7","0.21347547","0.2281198","0.1131011","5.8","5.3","Very High Dependency on Contractors"
"ME","56538.62","71537.28","223399.4","308454.12","148309.81","932910.9","0.1832967","0.4823503","0.2394649","9.3","5.8","Very High Dependency on Contractors"
"PA","334840.5","901580.8","1623220.8","1674807.6","3177503.5","7625221.0","0.19992773","0.28373873","0.21287525","10.1","4.4","Very High Dependency on Contractors"
"MA","206252.58","363958.5","503215.53","1002707.8","2149816.2","5805589.0","0.2056956","0.16929749","0.086677775","11.2","2.5","Very High Dependency on Contractors"
"HI","29646.94","32102.86","56867.11","305491.1","77843.21","684014.8","0.09704682","0.4124041","0.08313725","12.0","1.6","Very High Dependency on Contractors"
"NE","39896.68","89907.91","202028.31","356489.22","452928.62","1457213.9","0.11191553","0.19850348","0.13864012","5.2","5.7","High Dependency on Contractors"
"ND","16605.95","33903.75","195916.12","232243.06","191015.78","970025.44","0.071502455","0.17749187","0.20197009","5.3","1.2","High Dependency on Contractors"
"NC","84684.2","371391.4","636250.6","867853.3","2155528.0","5719821.5","0.097578935","0.17229718","0.111236095","7.0","4.4","High Dependency on Contractors"
"AK","11360.78","6387.74","26283.15","69254.32","33340.39","181794.44","0.16404435","0.19159165","0.1445762","7.4","5.0","High Dependency on Contractors"
"MN","121191.99","111415.52","361503.8","1132476.2","1031693.4","3532398.2","0.10701504","0.107992865","0.102339484","7.5","4.9","High Dependency on Contractors"
"NJ","176665.19","502039.88","1313177.5","1340155.1","2592478.2","6191416.0","0.13182443","0.1936525","0.21209647","7.9","4.8","High Dependency on Contractors"
"MT","14951.31","25272.73","92142.07","171489.12","122076.53","553176.44","0.087185174","0.20702367","0.16656904","8.6","6.4","High Dependency on Contractors"
"CO","53973.61","118272.23","261288.34","728170.0","752930.06","2490099.2","0.074122265","0.15708262","0.10493089","8.7","6.7","High Dependency on Contractors"
"DE","32009.19","61702.28","87653.05","162106.31","257503.66","688964.1","0.19745801","0.23961711","0.1272244","11.6","1.3","High Dependency on Contractors"
"IL","369883.16","318700.44","844819.2","2408731.2","2885000.0","9611710.0","0.15355933","0.11046809","0.08789478","12.5","7.0","High Dependency on Contractors"
"OR","38485.33","87596.09","230941.8","200395.23","418179.12","1503847.4","0.19204712","0.20947027","0.15356731","13.1","4.2","High Dependency on Contractors"
"NM","31079.71","42976.26","39559.92","196368.3","242145.4","817982.3","0.15827255","0.17748122","0.04836281","16.1","4.1","High Dependency on Contractors"
"DC","13744.52","5151.66","37050.49","131638.48","126209.72","403055.2","0.1044111","0.04081825","0.09192411","16.4","2.0","High Dependency on Contractors"
"MD","159488.23","214132.66","488745.0","903288.2","1569540.1","3492285.0","0.17656407","0.13643019","0.13994992","17.1","7.3","High Dependency on Contractors"
"KY","48845.44","143427.6","217823.6","745101.7","1266364.5","3564745.8","0.0655554","0.11325933","0.061104946","5.1","2.8","Moderate Dependency on Contractors"
"AZ","38807.29","65317.7","140803.06","441946.2","967769.56","2136073.0","0.08780999","0.06749303","0.065916784","5.5","2.0","Moderate Dependency on Contractors"
"MS","24152.75","98743.97","233783.06","458191.3","1201897.1","2704421.2","0.05271324","0.082156755","0.086444765","5.8","0.3","Moderate Dependency on Contractors"
"IN","68574.04","135518.56","170007.22","1189732.1","2016743.8","5470777.5","0.057638217","0.06719672","0.031075513","7.9","5.9","Moderate Dependency on Contractors"
"IA","71849.76","74493.97","287158.88","831825.25","871306.2","3540281.8","0.086376026","0.08549689","0.08111187","8.3","5.6","Moderate Dependency on Contractors"
"ID","9587.57","16729.4","30790.84","190794.77","257374.08","704296.4","0.050250698","0.06500033","0.043718584","8.5","3.5","Moderate Dependency on Contractors"
"KS","47303.81","50750.5","194477.0","560140.44","779882.56","2396929.0","0.08444991","0.06507454","0.08113591","10.5","9.6","Moderate Dependency on Contractors"
"OH","135424.6","372453.16","753797.25","2097843.0","4869828.5","1.1228313E7","0.06455421","0.07648178","0.06713361","10.5","6.3","Moderate Dependency on Contractors"
"CT","41240.99","106468.56","195890.64","632805.0","1363079.6","3640909.0","0.06517172","0.07810883","0.053802673","10.7","4.3","Moderate Dependency on Contractors"
"MO","41434.12","176039.08","391276.6","738864.5","1683173.2","4407207.0","0.056078106","0.104587615","0.08878108","12.3","7.7","Moderate Dependency on Contractors"
"AL","13252.6","47041.55","49559.86","727231.06","1375962.2","4047600.5","0.018223368","0.03418811","0.012244256","3.3","3.3","Low Dependency on Contractors"
"GA","33076.28","186627.16","405043.06","693212.44","2295825.8","4750185.5","0.047714494","0.081289776","0.08526889","5.8","3.6","Low Dependency on Contractors"
"FL","107717.77","280548.38","337838.22","3168570.0","4635784.5","1.4909525E7","0.033995707","0.060517993","0.022659222","6.7","2.6","Low Dependency on Contractors"
"OK","8764.87","42463.12","97814.62","291313.25","1127267.8","2548688.2","0.030087441","0.037669063","0.038378417","7.3","2.1","Low Dependency on Contractors"
"AR","7058.26","49782.24","53378.85","256479.83","1143847.5","3489860.8","0.027519746","0.043521743","0.0152954105","8.3","2.1","Low Dependency on Contractors"
"LA","4537.96","123222.44","200225.55","239540.64","1910550.1","4343879.0","0.018944426","0.06449579","0.04609372","8.4","1.0","Low Dependency on Contractors"
"MI","39216.85","152416.42","220845.2","1349507.1","2493510.8","6627404.0","0.02906013","0.06112523","0.033323035","11.0","5.5","Low Dependency on Contractors"
"NV","10974.27","15283.47","39442.96","268161.3","441705.84","1042724.25","0.040924136","0.034601014","0.037826836","12.5","9.9","Low Dependency on Contractors"
"CA","85274.23","289389.0","949042.4","3347767.2","9226720.0","2.1424976E7","0.02547197","0.031364232","0.044296075","16.7","7.5","Low Dependency on Contractors"
